Survey Id,Parent Id,Survey Name,Type,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End,Demobilisation Location,Number of Streamers,Streamer Separation,Streamer Length,Sail Line Separation,Report,Combo Report,Tides,Ocean Current,FFSQKM,FFSQKM Method,Shot Patch SQKM,Shotpatch Method,FF Minimum Water Depth (m),FF Maximum Water Depth (m),CentreLAT,CentreLONG,Replay
15GB_00432,,13/22A Captain OBN,OBN,,Magseis,Magseis,Artemis Athene,Chevron,United Kingdom,Yes,Peterhead -  UNITED KINGDOM,4/1/2015 0:00,4/3/2015 2:00,4/3/2015 12:00,8/18/2015 8:45,8/18/2015 12:00,8/19/2015 12:00,Aberdeen -  UNITED KINGDOM,,,,50,https://portal.seisintel.com/resources/reports/15GB_00432_v0.1A_comp20150819_2200.pdf,,https://portal.seisintel.com/resources/tides/15GB_00432_TIDEOUTPUT_58.3012_-1.7072_20150327-20150901_TPXO.zip,,89,Inferred from AIS,,,87,120,58.3015,-1.7095,
21GB_02260,,34/20 35/16 Autonomous Node Test OBN,OBN,Autonomous Node,Blue Ocean Seismic Services,Blue Ocean Seismic Services,Ocean Marlin,Blue Ocean Seismic Services,United Kingdom,Yes,Blyth -  UNITED KINGDOM,9/12/2021 12:00,9/14/2021 2:30,9/14/2021 3:00,9/18/2021 11:00,9/18/2021 16:00,9/20/2021 12:00,Blyth -  UNITED KINGDOM,,,,2500,https://portal.seisintel.com/resources/reports/21GB_02260_v0.1A_comp20210920_1200.pdf,,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21GB_02260_Z500_D10_20210920_1200.mp4,,,,,,,55.4345,-0.9605,
14NO_00733,14NO_00733,3D (ST14200) OBN,OBN,Node Layout,Fairfield,Fairfield,Ocean Pearl,Statoil Petroleum AS,Norway,Yes,Stavanger -  NORWAY,7/30/2014 0:00,7/31/2014 6:00,7/31/2014 8:00,9/8/2014 12:00,9/8/2014 18:00,9/11/2014 0:00,Stavanger -  NORWAY,,,,200,,,https://portal.seisintel.com/resources/tides/14NO_00733_TIDEOUTPUT_58.8161_2.5656_20140724-20140922.zip,,55,Inferred from AIS,148,Published Coordinates,117,118,58.8165,2.565,"https://portal.seisintel.com/#/path/14NO_00733,14NO_00754"
14NO_00754,14NO_00733,3D (ST14200) OBN,OBN,Source,Fairfield,Fairfield,Geowave Commander,Statoil Petroleum AS,Norway,Yes,Stavanger -  NORWAY,7/30/2014 0:00,7/31/2014 12:00,8/2/2014 6:00,9/7/2014 6:00,9/7/2014 9:00,9/9/2014 0:00,Stavanger -  NORWAY,,,,,,,https://portal.seisintel.com/resources/tides/14NO_00754_TIDEOUTPUT_58.8157_2.5663_20140724-20140921.zip,,55,Inferred from AIS,148,Published Coordinates,,,58.8155,2.566,"https://portal.seisintel.com/#/path/14NO_00733,14NO_00754"
21NO_02045,21NO_02044,ABP21200 Valhall 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Sanco Star,Aker BP ASA,Norway,Yes,Alesund -  NORWAY,3/22/2021 0:00,3/27/2021 1:30,3/29/2021 23:00,4/17/2021 22:30,4/18/2021 1:30,4/22/2021 0:00,Stavanger -  NORWAY,,,,100,https://portal.seisintel.com/resources/reports/21NO_02045_v0.1A_comp20210422_0000.pdf,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1C_comp20210422_0000.pdf,https://portal.seisintel.com/resources/tides/21NO_02045_TIDEOUTPUT_56.2642_3.3968_20210320-20210502_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21NO_02045_Z500_D10_20210416_1200.mp4,71,Inferred from AIS,,,,,56.2635,3.3945,"https://portal.seisintel.com/#/path/21NO_02044,21NO_02045"
21NO_02044,21NO_02044,ABP21200 Valhall 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Alesund -  NORWAY,3/22/2021 0:00,3/26/2021 20:00,3/28/2021 20:30,4/19/2021 21:30,4/19/2021 22:00,4/22/2021 0:00,Stavanger -  NORWAY,,,,300,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1A_comp20210422_0000.pdf,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1C_comp20210422_0000.pdf,https://portal.seisintel.com/resources/tides/21NO_02044_TIDEOUTPUT_56.2566_3.4049_20210319-20210503_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21NO_02044_Z500_D10_20210416_1200.mp4,71,Inferred from AIS,,,71,73,56.255,3.403,"https://portal.seisintel.com/#/path/21NO_02044,21NO_02045"
23NO_02599,23NO_02599,ABP23200 Ivar Aasen 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Oceanic Champion,Aker BP ASA,Norway,Yes,Haugesund -  NORWAY,3/21/2023 0:00,3/31/2023 18:00,4/2/2023 10:30,4/18/2023 14:30,4/18/2023 16:00,4/21/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1A_comp20230421_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1C_comp20230426_0000.pdf,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02599_Z500_D10_20230413_1200.mp4,78,Inferred from AIS,237,Inferred from AIS,110,116,58.919,2.209,"https://portal.seisintel.com/#/path/23NO_02599,23NO_02600"
23NO_02600,23NO_02599,ABP23200 Ivar Aasen 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Husoy -  NORWAY,3/21/2023 0:00,3/30/2023 18:00,3/30/2023 19:00,4/23/2023 20:00,4/23/2023 20:15,4/26/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02600_v0.1A_comp20230426_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1C_comp20230426_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02600_TIDEOUTPUT_58.9123_2.2067_20230323-20230509_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02600_Z500_D10_20230423_1200.mp4,78,Inferred from AIS,237,Inferred from AIS,,,58.918,2.21,"https://portal.seisintel.com/#/path/23NO_02599,23NO_02600"
23NO_02717,23NO_02716,ABP23201 Valhall / Hod 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Oceanic Champion,Aker BP ASA,Norway,Yes,Tananger -  NORWAY,7/22/2023 0:00,7/27/2023 14:30,7/29/2023 7:30,9/3/2023 12:00,9/3/2023 18:00,9/6/2023 0:00,Stavanger -  NORWAY,,,,100,https://portal.seisintel.com/resources/reports/23NO_02717_v0.1A_comp20230906_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1C_comp20230911_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02717_TIDEOUTPUT_56.2330_3.4174_20230720-20230917_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02717_Z500_D10_20230903_1200.mp4,128,Inferred from AIS,294,Inferred from AIS,,,56.252,3.414,"https://portal.seisintel.com/#/path/23NO_02716,23NO_02717"
23NO_02716,23NO_02716,ABP23201 Valhall / Hod 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Stavanger -  NORWAY,7/24/2023 0:00,7/27/2023 10:30,7/29/2023 0:00,9/7/2023 2:30,9/7/2023 3:00,9/11/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1A_comp20230911_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1C_comp20230911_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02716_TIDEOUTPUT_56.2296_3.4151_20230720-20230921_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02716_Z500_D10_20230907_1200.mp4,128,Inferred from AIS,294,Inferred from AIS,70,72,56.2495,3.4145,"https://portal.seisintel.com/#/path/23NO_02716,23NO_02717"
